figure_id,model,condition,layer,point_order,fpr,tpr,risk_threshold,margin_threshold,status,source
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,0,0.0000000000,0.0000000000,inf,-inf,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,1,0.0109890110,0.0000000000,1.5555179119,-1.5555179119,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,2,0.0219780220,0.0000000000,-4.9217872620,4.9217872620,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,3,0.0329670330,0.0000000000,-6.0674242973,6.0674242973,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,4,0.0439560440,0.0000000000,-6.1248369217,6.1248369217,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,5,0.0439560440,0.0270270270,-7.5101342201,7.5101342201,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,6,0.0549450549,0.0270270270,-7.7568864822,7.7568864822,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,7,0.0549450549,0.0540540541,-8.0968761444,8.0968761444,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,8,0.0549450549,0.0810810811,-8.3071317673,8.3071317673,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,9,0.0659340659,0.0810810811,-8.6232452393,8.6232452393,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,10,0.0659340659,0.1081081081,-8.7636508942,8.7636508942,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,11,0.0659340659,0.1351351351,-8.7697048187,8.7697048187,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,12,0.0659340659,0.1621621622,-9.5777168274,9.5777168274,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,13,0.0769230769,0.1621621622,-9.7995262146,9.7995262146,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,14,0.0769230769,0.1891891892,-10.2605819702,10.2605819702,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,15,0.0769230769,0.2162162162,-10.4595546722,10.4595546722,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,16,0.0879120879,0.2162162162,-10.6974277496,10.6974277496,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,17,0.0879120879,0.2432432432,-10.8796043396,10.8796043396,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,18,0.0879120879,0.2702702703,-11.2606096268,11.2606096268,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
